[2024-05-12T13:03:52.433+0000] {logging_mixin.py:188} INFO - /live/elections-2024#1822564
[2024-05-12T13:03:52.434+0000] {logging_mixin.py:188} INFO - /live/elections-2024#1822561
[2024-05-12T13:03:52.434+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb
[2024-05-12T13:03:52.434+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb
[2024-05-12T13:03:52.434+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832806/govt-to-focus-on-strategic-state-owned-entities-only-ishaq-dar
[2024-05-12T13:03:52.434+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832994/lender-endorses-status-quo-in-sbps-policy-rate
[2024-05-12T13:03:52.435+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit
[2024-05-12T13:03:52.435+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833053/imf-mission-to-meet-pakistani-authorities-next-week-to-discuss-next-phase-of-engagement-official
[2024-05-12T13:03:52.435+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833053/imf-mission-to-meet-pakistani-authorities-next-week-to-discuss-next-phase-of-engagement-official
[2024-05-12T13:03:52.435+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833056/situation-in-ajk-calms-down-after-2-days-of-violent-clashes
[2024-05-12T13:03:52.435+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833056/situation-in-ajk-calms-down-after-2-days-of-violent-clashes
[2024-05-12T13:03:52.436+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin
[2024-05-12T13:03:52.436+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin
[2024-05-12T13:03:52.436+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/live/gaza-invasion
[2024-05-12T13:03:52.436+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/live/gaza-invasion
[2024-05-12T13:03:52.436+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist
[2024-05-12T13:03:52.436+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist
[2024-05-12T13:03:52.437+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm
